order_n,order_label,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
9,9×9,2,21,,1.9,Simul_-60deg,24.9,8.26,,1.9,0.0,-7.6,2.0
9,9×9,3,21,,2.85,Simul_+60deg,12.0,4.01,,2.8499999999999996,0.0,-6.65,2.0
9,9×9,3,21,,2.85,Simul_+45deg,12.0,4.02,,2.8499999999999996,0.0,-6.65,2.0
9,9×9,3,21,,2.85,Simul_+30deg,7.1,2.56,,2.8499999999999996,0.0,-6.65,2.0
9,9×9,3,21,,2.85,Simul_+15deg,8.9,3.06,,2.8499999999999996,0.0,-6.65,2.0
9,9×9,3,21,,2.85,Simul_+0deg,12.6,4.2,,2.8499999999999996,0.0,-6.65,2.0
9,9×9,3,21,,2.85,Simul_-15deg,17.4,5.69,,2.8499999999999996,0.0,-6.65,2.0
9,9×9,3,21,,2.85,Simul_-30deg,25.5,8.46,,2.8499999999999996,0.0,-6.65,2.0
9,9×9,3,21,,2.85,Simul_-45deg,29.1,9.67,,2.8499999999999996,0.0,-6.65,2.0
9,9×9,3,21,,2.85,Simul_-60deg,22.7,7.48,,2.8499999999999996,0.0,-6.65,2.0
9,9×9,4,21,,3.8,Simul_+60deg,12.1,4.04,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_+45deg,12.3,4.1,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_+30deg,8.2,2.86,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_+15deg,10.9,3.68,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_+0deg,15.0,4.96,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_-15deg,19.9,6.56,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_-30deg,28.4,9.44,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_-45deg,29.5,9.79,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_-60deg,19.9,6.61,,3.8,0.0,-5.699999999999999,2.0
9,9×9,5,21,,4.75,Simul_+60deg,13.1,4.37,,4.75,0.0,-4.75,2.0
9,9×9,5,21,,4.75,Simul_+45deg,11.9,3.98,,4.75,0.0,-4.75,2.0
9,9×9,5,21,,4.75,Simul_+30deg,10.6,3.61,,4.75,0.0,-4.75,2.0
