order_n,order_label,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
9,9×9,19,21,,18.05,Simul_+15deg,16.3,5.37,,18.05,0.0,8.55,2.0
9,9×9,19,21,,18.05,Simul_+0deg,10.6,3.6,,18.05,0.0,8.55,2.0
9,9×9,19,21,,18.05,Simul_-15deg,5.8,2.22,,18.05,0.0,8.55,2.0
9,9×9,19,21,,18.05,Simul_-30deg,8.0,2.82,,18.05,0.0,8.55,2.0
9,9×9,19,21,,18.05,Simul_-45deg,11.2,3.76,,18.05,0.0,8.55,2.0
9,9×9,19,21,,18.05,Simul_-60deg,11.6,3.89,,18.05,0.0,8.55,2.0
9,9×9,20,21,,19.0,Simul_+60deg,26.7,8.82,,19.0,0.0,9.5,2.0
9,9×9,20,21,,19.0,Simul_+45deg,25.1,8.33,,19.0,0.0,9.5,2.0
9,9×9,20,21,,19.0,Simul_+30deg,19.6,6.47,,19.0,0.0,9.5,2.0
9,9×9,20,21,,19.0,Simul_+15deg,18.4,6.08,,19.0,0.0,9.5,2.0
9,9×9,20,21,,19.0,Simul_+0deg,10.7,3.61,,19.0,0.0,9.5,2.0
9,9×9,20,21,,19.0,Simul_-15deg,5.0,2.03,,19.0,0.0,9.5,2.0
9,9×9,20,21,,19.0,Simul_-30deg,8.2,2.87,,19.0,0.0,9.5,2.0
9,9×9,20,21,,19.0,Simul_-45deg,10.9,3.68,,19.0,0.0,9.5,2.0
9,9×9,20,21,,19.0,Simul_-60deg,11.6,3.91,,19.0,0.0,9.5,2.0
