lens,rx_index,tx_index,freq_ghz,solver_a,solver_b,magnitude_difference_db,absolute_magnitude_difference_db,centered_shape_difference_db,absolute_centered_shape_difference_db,circular_phase_difference_deg,phase_difference_aligned_deg
with,2,3,37.0,HFSS SBR+ Solver,SIonna-RT,-0.8030461531937618,0.8030461531937618,2.0427796390245163,2.0427796390245163,98.22860803729377,44.239215121687714
with,2,3,38.0,HFSS SBR+ Solver,SIonna-RT,-4.436580281004474,4.436580281004474,-1.590754488786196,1.590754488786196,72.71391578981378,18.72452287420773
with,2,3,39.0,HFSS SBR+ Solver,SIonna-RT,-3.2978509424565914,3.2978509424565914,-0.45202515023831324,0.45202515023831324,-8.974345080289396,-62.96373799589546
with,3,1,37.0,HFSS SBR+ Solver,SIonna-RT,11.224105448342911,11.224105448342911,2.1558665459122324,2.1558665459122324,-168.45105883836064,-163.78746192194987
with,3,1,38.0,HFSS SBR+ Solver,SIonna-RT,8.961998333489632,8.961998333489632,-0.10624056894104683,0.10624056894104683,113.9951061186334,118.65870303504417
with,3,1,39.0,HFSS SBR+ Solver,SIonna-RT,7.018612925459465,7.018612925459465,-2.049625976971214,2.049625976971214,40.46516197049495,45.128758886905715
with,3,2,37.0,HFSS SBR+ Solver,SIonna-RT,0.08835968236071778,0.08835968236071778,1.2785509008229425,1.2785509008229425,92.6642108089333,48.424290399615565
with,3,2,38.0,HFSS SBR+ Solver,SIonna-RT,-2.9091049648588054,2.9091049648588054,-1.7189137463965807,1.7189137463965807,60.37844701466308,16.138526605345337
with,3,2,39.0,HFSS SBR+ Solver,SIonna-RT,-0.7498283728886008,0.7498283728886008,0.44036284557362393,0.44036284557362393,-20.322896595643165,-64.5628170049609
with,3,3,37.0,HFSS SBR+ Solver,SIonna-RT,0.831993435942703,0.831993435942703,-0.3597667575737269,0.3597667575737269,-41.4099634777835,-26.113633251711896
with,3,3,38.0,HFSS SBR+ Solver,SIonna-RT,1.3948053741108986,1.3948053741108986,0.20304518059446863,0.20304518059446863,-138.62116225716392,-123.32483203109233
with,3,3,39.0,HFSS SBR+ Solver,SIonna-RT,1.3484817704956953,1.3484817704956953,0.15672157697926536,0.15672157697926536,134.1421350567326,149.4384652828042
without,1,1,37.0,HFSS SBR+ Solver,SIonna-RT,5.067447144970565,5.067447144970565,1.4984587815235173,1.4984587815235173,-70.86544692456673,-46.89376809290005
without,1,1,38.0,HFSS SBR+ Solver,SIonna-RT,3.7440738297766103,3.7440738297766103,0.17508546632956268,0.17508546632956268,-149.293227459671,-125.32154862800432
without,1,1,39.0,HFSS SBR+ Solver,SIonna-RT,1.8954441155939783,1.8954441155939783,-1.6735442478530693,1.6735442478530693,148.24363788923768,172.21531672090435
without,1,2,37.0,HFSS SBR+ Solver,SIonna-RT,2.5741214222986564,2.5741214222986564,0.7921679539747899,0.7921679539747899,131.69159406282168,71.05132833915252
without,1,2,38.0,HFSS SBR+ Solver,SIonna-RT,1.8847615908950601,1.8847615908950601,0.10280812257119365,0.10280812257119365,56.347533465748946,-4.292732257920207
without,1,2,39.0,HFSS SBR+ Solver,SIonna-RT,0.8869773917778936,0.8869773917778936,-0.8949760765459729,0.8949760765459729,-6.118330357563167,-66.75859608123233
without,1,3,37.0,HFSS SBR+ Solver,SIonna-RT,2.590339458919715,2.590339458919715,0.7895347978098854,0.7895347978098854,132.50141616992605,71.07996079526188
without,1,3,38.0,HFSS SBR+ Solver,SIonna-RT,1.9072744450090653,1.9072744450090653,0.10646978389923589,0.10646978389923589,57.18274751721704,-4.238707857447125
without,1,3,39.0,HFSS SBR+ Solver,SIonna-RT,0.9048000794007187,0.9048000794007187,-0.8960045817091107,0.8960045817091107,-5.41979756315061,-66.84125293781477
without,2,1,37.0,HFSS SBR+ Solver,SIonna-RT,5.864067601610053,5.864067601610053,0.7657811747355545,0.7657811747355545,133.5162550699788,71.01863697214878
