"patch_W [mm]","Freq [GHz]","S(1,1) []"
2.4,48.0625,-0.526189513234601 - 0.512445862964419i
2.4,48.125,-0.547702474812256 - 0.488317242483835i
2.4,48.1875,-0.568072161361528 - 0.463253430439852i
2.4,48.25,-0.587256363233766 - 0.437311611417935i
2.4,48.3125,-0.605215931127327 - 0.41055110065879i
2.4,48.375,-0.62191491644979 - 0.383033164325231i
2.4,48.4375,-0.637320698499954 - 0.354820827766819i
2.4,48.5,-0.651404097457284 - 0.32597867292665i
2.4,48.5625,-0.664139472238732 - 0.29657262614437i
2.4,48.625,-0.67550480237856 - 0.266669737710003i
2.4,48.6875,-0.685481753202114 - 0.236337954612867i
2.4,48.75,-0.694055723696287 - 0.205645888005837i
2.4,48.8125,-0.701215876624412 - 0.17466257696593i
2.4,48.875,-0.706955150588545 - 0.143457250175885i
2.4,48.9375,-0.711270253904442 - 0.11209908717698i
2.4,49,-0.714161640321053 - 0.0806569808498529i
2.4,49.0625,-0.715633466784154 - 0.0491993027671288i
2.4,49.125,-0.715693533609736 - 0.0177936730294636i
2.4,49.1875,-0.714353207594522 + 0.0134932638547724i
2.4,49.25,-0.711627328745577 + 0.0445960555554771i
2.4,49.3125,-0.707534101456165 + 0.0754506495683684i
2.4,49.375,-0.702094971088636 + 0.105994590622206i
2.4,49.4375,-0.695334487045122 + 0.136167206659947i
2.4,49.5,-0.687280153511811 + 0.165909782335962i
2.4,49.5625,-0.677962269151098 + 0.195165719109173i
2.4,49.625,-0.667413757087175 + 0.223880681157059i
2.4,49.6875,-0.655669986583972 + 0.252002726485698i
2.4,49.75,-0.64276858784968 + 0.279482422763759i
2.4,49.8125,-0.628749261419278 + 0.306272947561801i
2.4,49.875,-0.613653583566313 + 0.332330172829393i
2.4,49.9375,-0.597524809178057 + 0.357612733590005i
2.4,50,-0.580407673495264 + 0.382082080975016i
2.5,25,0.643904123184481 - 0.685914210110412i
2.5,25.0625,0.614649759565129 - 0.712217819399971i
2.5,25.125,0.584326972059256 - 0.737278744923983i
2.5,25.1875,0.552989329099782 - 0.761051820998423i
2.5,25.25,0.520692369977872 - 0.783494367543721i
2.5,25.3125,0.487493474210032 - 0.804566274931165i
2.5,25.375,0.45345172762752 - 0.824230080827026i
2.5,25.4375,0.418627785754795 - 0.842451038960324i
2.5,25.5,0.383083735037629 - 0.859197179784852i
2.5,25.5625,0.346882952471655 - 0.87443936304927i
2.5,25.625,0.310089964168815 - 0.888151322330441i
2.5,25.6875,0.2727703033826 - 0.900309701624522i
2.5,25.75,0.234990368493247 - 0.910894084127311i
2.5,25.8125,0.196817281431822 - 0.919887013369757i
2.5,25.875,0.15831874699736 - 0.927274006906229i
2.5,25.9375,0.119562913494277 - 0.933043562781905i
2.5,26,0.0806182350887942 - 0.937187159031403i
2.5,26.0625,0.0415533362528594 - 0.939699246483403i
2.5,26.125,0.00243687863288225 - 0.940577235165492i
2.5,26.1875,-0.0366625693514599 - 0.939821474619776i
2.5,26.25,-0.075676659905774 - 0.937435228452901i
2.5,26.3125,-0.114537390017051 - 0.933424643454151i
2.5,26.375,-0.15317722216027 - 0.927798713622165i
2.5,26.4375,-0.191529201380982 - 0.920569239444806i
2.5,26.5,-0.229527068611168 - 0.911750782777728i
2.5,26.5625,-0.267105370106705 - 0.90136061766552i
2.5,26.625,-0.304199562924938 - 0.889418677445017i
2.5,26.6875,-0.340746116389435 - 0.875947498463658i
2.5,26.75,-0.376682609516786 - 0.860972160736661i
2.5,26.8125,-0.41194782440576 - 0.844520225855823i
2.5,26.875,-0.446481835613693 - 0.826621672449562i
2.5,26.9375,-0.480226095567085 - 0.807308829479211i
2.5,27,-0.513123516074075 - 0.786616307640148i
2.5,27.0625,-0.545118546024839 - 0.764580929118828i
2.5,27.125,-0.576157245382459 - 0.741241655937934i
2.5,27.1875,-0.606187355581259 - 0.716639517102136i
2.5,27.25,-0.635158366461759 - 0.690817534736468i
2.5,27.3125,-0.663021579881645 - 0.6638206493882i
2.5,27.375,-0.689730170150092 - 0.635695644641594i
2.5,27.4375,-0.715239241438713 - 0.606491071173181i
2.5,27.5,-0.739505882326114 - 0.57625717035344i
2.5,27.5625,-0.76248921763484 - 0.54504579747897i
2.5,27.625,-0.784150457719065 - 0.512910344697871i
2.5,27.6875,-0.804452945359146 - 0.479905663669976i
2.5,27.75,-0.823362200414859 - 0.446087987983039i
2.5,27.8125,-0.840845962383027 - 0.411514855326265i
2.5,27.875,-0.856874230997327 - 0.376245029403495i
2.5,27.9375,-0.8714193049984 - 0.340338421550355i
2.5,28,-0.884455819191056 - 0.303856012002772i
2.5,28.0625,-0.895960779892527 - 0.266859770748424i
2.5,28.125,-0.905913598861302 - 0.229412577878281i
2.5,28.1875,-0.9142961257804 - 0.191578143342388i
2.5,28.25,-0.921092679351832 - 0.153420926002598i
2.5,28.3125,-0.92629007704093 - 0.115006051864863i
2.5,28.375,-0.929877663489813 - 0.0763992313660121i
2.5,28.4375,-0.931847337599203 - 0.0376666755832417i
2.5,28.5,-0.932193578256741 + 0.0011249887695781i
2.5,28.5625,-0.930913468668291 + 0.0399088056970472i
2.5,28.625,-0.928006719226572 + 0.0786175777674085i
2.5,28.6875,-0.923475688828853 + 0.11718395558435i
2.5,28.75,-0.917325404532759 + 0.155540529017838i
2.5,28.8125,-0.909563579416398 + 0.193619920320006i
2.5,28.875,-0.900200628486461 + 0.231354879243225i
2.5,28.9375,-0.889249682455675 + 0.268678380266255i
2.5,29,-0.876726599189325 + 0.305523722020848i
2.5,29.0625,-0.862649972599636 + 0.341824628994969i
2.5,29.125,-0.847041138747005 + 0.377515355570418i
2.5,29.1875,-0.829924178888335 + 0.412530792431709i
2.5,29.25,-0.811325919195764 + 0.446806575359738i
2.5,29.3125,-0.791275926853527 + 0.480279196398359i
2.5,29.375,-0.769806502227479 + 0.512886117354094i
2.5,29.4375,-0.746952666790634 + 0.544565885559412i
2.5,29.5,-0.7227521464795 + 0.575258251798285i
2.5,29.5625,-0.697245350150241 + 0.604904290259056i
2.5,29.625,-0.67047534280091 + 0.63344652034466i
2.5,29.6875,-0.642487813226532 + 0.660829030133743i
