trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Linear,Without Lens,17,21,,16.15,Simul_+4,19.5,6.47,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,17,21,,16.15,Simul_+3,19.5,6.47,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,17,21,,16.15,Simul_+2,19.5,6.48,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,17,21,,16.15,Simul_+1,19.5,6.47,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,17,21,,16.15,Simul_0,19.5,6.48,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,17,21,,16.15,Simul_-1,19.5,6.49,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,17,21,,16.15,Simul_-2,19.5,6.47,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,17,21,,16.15,Simul_-3,19.5,6.48,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,17,21,,16.15,Simul_-4,19.6,6.5,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,18,21,,17.1,Simul_+4,18.8,6.25,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,18,21,,17.1,Simul_+3,18.9,6.26,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,18,21,,17.1,Simul_+2,18.8,6.26,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,18,21,,17.1,Simul_+1,18.7,6.22,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,18,21,,17.1,Simul_0,18.8,6.25,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,18,21,,17.1,Simul_-1,18.9,6.28,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,18,21,,17.1,Simul_-2,18.9,6.26,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,18,21,,17.1,Simul_-3,18.8,6.24,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,18,21,,17.1,Simul_-4,18.9,6.27,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,19,21,,18.05,Simul_+4,18.1,6.03,,18.05,0.0,8.55,2.0
Linear,Without Lens,19,21,,18.05,Simul_+3,18.1,6.02,,18.05,0.0,8.55,2.0
Linear,Without Lens,19,21,,18.05,Simul_+2,18.1,6.0,,18.05,0.0,8.55,2.0
Linear,Without Lens,19,21,,18.05,Simul_+1,18.0,5.98,,18.05,0.0,8.55,2.0
Linear,Without Lens,19,21,,18.05,Simul_0,18.1,6.0,,18.05,0.0,8.55,2.0
Linear,Without Lens,19,21,,18.05,Simul_-1,18.1,6.02,,18.05,0.0,8.55,2.0
Linear,Without Lens,19,21,,18.05,Simul_-2,18.1,6.03,,18.05,0.0,8.55,2.0
Linear,Without Lens,19,21,,18.05,Simul_-3,18.1,6.02,,18.05,0.0,8.55,2.0
Linear,Without Lens,19,21,,18.05,Simul_-4,18.2,6.04,,18.05,0.0,8.55,2.0
Linear,Without Lens,20,21,,19.0,Simul_+4,17.8,5.89,,19.0,0.0,9.5,2.0
Linear,Without Lens,20,21,,19.0,Simul_+3,17.8,5.9,,19.0,0.0,9.5,2.0
Linear,Without Lens,20,21,,19.0,Simul_+2,17.8,5.91,,19.0,0.0,9.5,2.0
Linear,Without Lens,20,21,,19.0,Simul_+1,17.9,5.93,,19.0,0.0,9.5,2.0
Linear,Without Lens,20,21,,19.0,Simul_0,17.9,5.92,,19.0,0.0,9.5,2.0
Linear,Without Lens,20,21,,19.0,Simul_-1,17.9,5.93,,19.0,0.0,9.5,2.0
Linear,Without Lens,20,21,,19.0,Simul_-2,17.9,5.93,,19.0,0.0,9.5,2.0
Linear,Without Lens,20,21,,19.0,Simul_-3,17.9,5.92,,19.0,0.0,9.5,2.0
Linear,Without Lens,20,21,,19.0,Simul_-4,17.7,5.88,,19.0,0.0,9.5,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_+4,17.7,5.86,-90.0,0.0,5.51091059616309e-16,-9.0,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_+3,17.7,5.87,-90.0,0.0,5.51091059616309e-16,-9.0,2.0
