scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_+0deg,0,79.19999695,79.19999695,0.00000000,12.46714973
Simul_+0deg,0,79.55998993,79.55998993,0.00000000,12.71635628
Simul_+0deg,0,79.91999817,79.91999817,0.00000000,12.96068287
Simul_+0deg,0,80.27999878,80.27999878,0.00000000,13.17332268
Simul_+0deg,0,80.63999939,80.63999939,0.00000000,13.37760353
Simul_+0deg,0,80.99999237,80.99999237,0.00000000,13.58133316
Simul_+0deg,0,81.35999298,81.35999298,0.00000000,13.78417587
Simul_+0deg,0,81.72000122,81.72000122,0.00000000,13.98583412
Simul_+0deg,0,82.07999420,82.07999420,0.00000000,14.17872238
Simul_+0deg,0,82.43999481,82.43999481,0.00000000,14.34631538
Simul_+0deg,0,82.79999542,82.79999542,0.00000000,14.51518631
Simul_+0deg,0,83.15999603,83.15999603,0.00000000,14.68494606
Simul_+0deg,0,83.51998901,83.51998901,0.00000000,14.85525131
Simul_+0deg,0,83.87999725,83.87999725,0.00000000,15.02580643
Simul_+0deg,0,84.23999786,84.23999786,0.00000000,15.17069912
Simul_+0deg,0,84.59999847,84.59999847,0.00000000,15.30387497
Simul_+0deg,0,84.95999146,84.95999146,0.00000000,15.43817329
Simul_+0deg,0,85.31999207,85.31999207,0.00000000,15.57337379
Simul_+0deg,0,85.67999268,85.67999268,0.00000000,15.70927238
Simul_+0deg,0,86.04000092,86.04000092,0.00000000,15.84008598
Simul_+0deg,0,86.39999390,86.39999390,0.00000000,15.92680931
Simul_+0deg,0,86.75999451,86.75999451,0.00000000,16.01432610
Simul_+0deg,0,87.11999512,87.11999512,0.00000000,16.10255432
Simul_+0deg,0,87.47999573,87.47999573,0.00000000,16.19141006
Simul_+0deg,0,87.83999634,87.83999634,0.00000000,16.28083420
Simul_+0deg,0,88.19999695,88.19999695,0.00000000,16.33690071
Simul_+0deg,0,88.55999756,88.55999756,0.00000000,16.36640930
Simul_+0deg,0,88.91999817,88.91999817,0.00000000,16.39643478
Simul_+0deg,0,89.27999115,89.27999115,0.00000000,16.42696571
Simul_+0deg,0,89.63999176,89.63999176,0.00000000,16.45798874
Simul_+0deg,0,90.00000000,90.00000000,0.00000000,16.48949242
Simul_+0deg,0,90.35999298,90.35999298,0.00000000,16.45667267
Simul_+0deg,0,90.71999359,90.71999359,0.00000000,16.42428398
Simul_+0deg,0,91.07999420,91.07999420,0.00000000,16.39233208
Simul_+0deg,0,91.43999481,91.43999481,0.00000000,16.36083412
Simul_+0deg,0,91.79999542,91.79999542,0.00000000,16.32979393
Simul_+0deg,0,92.15999603,92.15999603,0.00000000,16.27273750
Simul_+0deg,0,92.51999664,92.51999664,0.00000000,16.18298721
Simul_+0deg,0,92.87999725,92.87999725,0.00000000,16.09369087
Simul_+0deg,0,93.23999023,93.23999023,0.00000000,16.00492668
Simul_+0deg,0,93.59999084,93.59999084,0.00000000,15.91675377
Simul_+0deg,0,93.95999908,93.95999908,0.00000000,15.82925415
Simul_+0deg,0,94.31999969,94.31999969,0.00000000,15.69974995
Simul_+0deg,0,94.67999268,94.67999268,0.00000000,15.56540585
Simul_+0deg,0,95.03999329,95.03999329,0.00000000,15.43172359
Simul_+0deg,0,95.39999390,95.39999390,0.00000000,15.29889870
Simul_+0deg,0,95.75999451,95.75999451,0.00000000,15.16715050
Simul_+0deg,0,96.11999512,96.11999512,0.00000000,15.02456474
Simul_+0deg,0,96.47999573,96.47999573,0.00000000,14.85829258
Simul_+0deg,0,96.83999634,96.83999634,0.00000000,14.69240761
Simul_+0deg,0,97.19999695,97.19999695,0.00000000,14.52721691
Simul_+0deg,0,97.55998993,97.55998993,0.00000000,14.36304855
Simul_+0deg,0,97.91999817,97.91999817,0.00000000,14.20028210
Simul_+0deg,0,98.27999878,98.27999878,0.00000000,14.01396847
Simul_+0deg,0,98.63999176,98.63999176,0.00000000,13.81968117
Simul_+0deg,0,98.99999237,98.99999237,0.00000000,13.62455845
Simul_+0deg,0,99.35999298,99.35999298,0.00000000,13.42890549
Simul_+0deg,0,99.71999359,99.71999359,0.00000000,13.23307896
Simul_+0deg,0,100.07999420,100.07999420,0.00000000,13.02926540
Simul_+0deg,0,100.43999481,100.43999481,0.00000000,12.79431915
Simul_+0deg,0,100.79999542,100.79999542,0.00000000,12.55503750
Simul_+0deg,0,101.15999603,101.15999603,0.00000000,12.31144428
Simul_+0deg,0,101.51998901,101.51998901,0.00000000,12.06356430
Simul_+0deg,0,101.87999725,101.87999725,0.00000000,11.81149578
Simul_+0deg,0,102.23999786,102.23999786,0.00000000,11.52296638
Simul_+0deg,0,102.59999847,102.59999847,0.00000000,11.20896912
Simul_+0deg,0,102.95999146,102.95999146,0.00000000,10.88407612
Simul_+0deg,0,103.31999207,103.31999207,0.00000000,10.54755974
Simul_+0deg,0,103.67999268,103.67999268,0.00000000,10.19868279
Simul_+0deg,0,104.03999329,104.03999329,0.00000000,9.83128071
Simul_+0deg,0,104.39999390,104.39999390,0.00000000,9.40394497
Simul_+0deg,0,104.75999451,104.75999451,0.00000000,8.95462799
Simul_+0deg,0,105.11999512,105.11999512,0.00000000,8.48098278
Simul_+0deg,0,105.47999573,105.47999573,0.00000000,7.98021412
Simul_+0deg,0,105.83998871,105.83998871,0.00000000,7.44909382
Simul_+0deg,0,106.19999695,106.19999695,0.00000000,6.87947464
Simul_+0deg,0,106.55999756,106.55999756,0.00000000,6.26668167
Simul_+0deg,0,106.91999054,106.91999054,0.00000000,5.60800266
Simul_+0deg,0,107.27999115,107.27999115,0.00000000,4.89607859
Simul_+0deg,0,107.63999176,107.63999176,0.00000000,4.12179852
Simul_+0deg,0,108.00000000,108.00000000,0.00000000,3.27339196
Simul_+0deg,0,108.35999298,108.35999298,0.00000000,2.49554396
Simul_+0deg,0,108.71999359,108.71999359,0.00000000,1.64764619
Simul_+0deg,0,109.07999420,109.07999420,0.00000000,0.71769124
