scenario,lens_angle_deg,yz_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,123.83999634,123.83999634,90.00000000,-3.24664712
Simul_-45deg,-45,124.19998932,124.19998932,90.00000000,-3.21449041
Simul_-45deg,-45,124.55999756,124.55999756,90.00000000,-3.17425776
Simul_-45deg,-45,124.91998291,124.91998291,90.00000000,-3.13112116
Simul_-45deg,-45,125.27999115,125.27999115,90.00000000,-3.08516598
Simul_-45deg,-45,125.63999939,125.63999939,90.00000000,-3.03648973
Simul_-45deg,-45,125.99999237,125.99999237,90.00000000,-2.98518658
Simul_-45deg,-45,126.35999298,126.35999298,90.00000000,-2.98240948
Simul_-45deg,-45,126.71998596,126.71998596,90.00000000,-2.97667837
Simul_-45deg,-45,127.07999420,127.07999420,90.00000000,-2.96800280
Simul_-45deg,-45,127.43999481,127.43999481,90.00000000,-2.95640111
Simul_-45deg,-45,127.79998779,127.79998779,90.00000000,-2.94189572
Simul_-45deg,-45,128.15998840,128.15998840,90.00000000,-2.97601604
Simul_-45deg,-45,128.51998901,128.51998901,90.00000000,-3.07255244
Simul_-45deg,-45,128.87998962,128.87998962,90.00000000,-3.16736197
Simul_-45deg,-45,129.24000549,129.24000549,90.00000000,-3.26027536
Simul_-45deg,-45,129.59999084,129.59999084,90.00000000,-3.35112572
Simul_-45deg,-45,129.95999146,129.95999146,90.00000000,-3.43973875
Simul_-45deg,-45,130.31999207,130.31999207,90.00000000,-3.65254784
Simul_-45deg,-45,130.67999268,130.67999268,90.00000000,-3.88319063
Simul_-45deg,-45,131.03999329,131.03999329,90.00000000,-4.11579561
Simul_-45deg,-45,131.39999390,131.39999390,90.00000000,-4.34998035
Simul_-45deg,-45,131.75999451,131.75999451,90.00000000,-4.58528376
Simul_-45deg,-45,132.11999512,132.11999512,90.00000000,-4.85548973
Simul_-45deg,-45,132.47999573,132.47999573,90.00000000,-5.19693661
Simul_-45deg,-45,132.83998108,132.83998108,90.00000000,-5.54104805
Simul_-45deg,-45,133.19999695,133.19999695,90.00000000,-5.88610268
Simul_-45deg,-45,133.55999756,133.55999756,90.00000000,-6.22989893
Simul_-45deg,-45,133.91998291,133.91998291,90.00000000,-6.56967258
Simul_-45deg,-45,134.27999878,134.27999878,90.00000000,-6.90987349
Simul_-45deg,-45,134.63998413,134.63998413,90.00000000,-7.23811436
Simul_-45deg,-45,135.00000000,135.00000000,90.00000000,-7.54616261
Simul_-45deg,-45,135.36000061,135.36000061,90.00000000,-7.82747936
Simul_-45deg,-45,135.71998596,135.71998596,90.00000000,-8.07507706
Simul_-45deg,-45,136.08000183,136.08000183,90.00000000,-8.27994728
