scenario,lens_angle_deg,horizontal_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,-72.36000061,90.00000000,-72.36000061,-1.33165658
Simul_-45deg,-45,-72.00000000,90.00000000,-72.00000000,-1.23437023
Simul_-45deg,-45,-71.63999939,90.00000000,-71.63999939,-1.13253391
Simul_-45deg,-45,-71.27999115,90.00000000,-71.27999115,-1.01633191
Simul_-45deg,-45,-70.91999817,90.00000000,-70.91999817,-0.88695109
Simul_-45deg,-45,-70.55999756,90.00000000,-70.55999756,-0.74562609
Simul_-45deg,-45,-70.19999695,90.00000000,-70.19999695,-0.59360760
Simul_-45deg,-45,-69.83999634,90.00000000,-69.83999634,-0.44054270
Simul_-45deg,-45,-69.47999573,90.00000000,-69.47999573,-0.28816703
Simul_-45deg,-45,-69.11999512,90.00000000,-69.11999512,-0.12659614
Simul_-45deg,-45,-68.75999451,90.00000000,-68.75999451,0.04298918
Simul_-45deg,-45,-68.39999390,90.00000000,-68.39999390,0.21946906
Simul_-45deg,-45,-68.04000092,90.00000000,-68.04000092,0.40176567
Simul_-45deg,-45,-67.68000031,90.00000000,-67.68000031,0.54051167
Simul_-45deg,-45,-67.31999207,90.00000000,-67.31999207,0.67892599
Simul_-45deg,-45,-66.95999146,90.00000000,-66.95999146,0.82248122
Simul_-45deg,-45,-66.59999847,90.00000000,-66.59999847,0.97055197
Simul_-45deg,-45,-66.23999786,90.00000000,-66.23999786,1.12253404
Simul_-45deg,-45,-65.87999725,90.00000000,-65.87999725,1.25183487
Simul_-45deg,-45,-65.51999664,90.00000000,-65.51999664,1.33312607
Simul_-45deg,-45,-65.15999603,90.00000000,-65.15999603,1.41873693
Simul_-45deg,-45,-64.79999542,90.00000000,-64.79999542,1.50838852
Simul_-45deg,-45,-64.43999481,90.00000000,-64.43999481,1.60180032
Simul_-45deg,-45,-64.07999420,90.00000000,-64.07999420,1.69869435
Simul_-45deg,-45,-63.71999741,90.00000000,-63.71999741,1.74033260
Simul_-45deg,-45,-63.35999298,90.00000000,-63.35999298,1.76880586
Simul_-45deg,-45,-62.99999619,90.00000000,-62.99999619,1.80080652
Simul_-45deg,-45,-62.63999557,90.00000000,-62.63999557,1.83625746
Simul_-45deg,-45,-62.27999878,90.00000000,-62.27999878,1.87507260
Simul_-45deg,-45,-61.91999817,90.00000000,-61.91999817,1.90432572
Simul_-45deg,-45,-61.56000137,90.00000000,-61.56000137,1.89150107
Simul_-45deg,-45,-61.19999313,90.00000000,-61.19999313,1.88130021
Simul_-45deg,-45,-60.83999634,90.00000000,-60.83999634,1.87373936
Simul_-45deg,-45,-60.47999573,90.00000000,-60.47999573,1.86883581
Simul_-45deg,-45,-60.11999893,90.00000000,-60.11999893,1.86659598
Simul_-45deg,-45,-59.75999832,90.00000000,-59.75999832,1.84304762
Simul_-45deg,-45,-59.39999390,90.00000000,-59.39999390,1.80963969
Simul_-45deg,-45,-59.03999329,90.00000000,-59.03999329,1.77829909
Simul_-45deg,-45,-58.67999649,90.00000000,-58.67999649,1.74906898
Simul_-45deg,-45,-58.31999588,90.00000000,-58.31999588,1.72199714
Simul_-45deg,-45,-57.95999908,90.00000000,-57.95999908,1.69560623
Simul_-45deg,-45,-57.59999847,90.00000000,-57.59999847,1.65924597
Simul_-45deg,-45,-57.23999786,90.00000000,-57.23999786,1.62502694
Simul_-45deg,-45,-56.87999725,90.00000000,-56.87999725,1.59300327
Simul_-45deg,-45,-56.51999664,90.00000000,-56.51999664,1.56322587
Simul_-45deg,-45,-56.15999603,90.00000000,-56.15999603,1.53574455
Simul_-45deg,-45,-55.79999542,90.00000000,-55.79999542,1.51496232
Simul_-45deg,-45,-55.43999863,90.00000000,-55.43999863,1.50021672
Simul_-45deg,-45,-55.07999802,90.00000000,-55.07999802,1.48808587
Simul_-45deg,-45,-54.71999741,90.00000000,-54.71999741,1.47859704
Simul_-45deg,-45,-54.35999680,90.00000000,-54.35999680,1.47176552
Simul_-45deg,-45,-54.00000000,90.00000000,-54.00000000,1.46760368
Simul_-45deg,-45,-53.63999557,90.00000000,-53.63999557,1.48449802
Simul_-45deg,-45,-53.27999878,90.00000000,-53.27999878,1.50363147
Simul_-45deg,-45,-52.91999435,90.00000000,-52.91999435,1.52497303
Simul_-45deg,-45,-52.55999756,90.00000000,-52.55999756,1.54849100
Simul_-45deg,-45,-52.19999695,90.00000000,-52.19999695,1.57414842
Simul_-45deg,-45,-51.83999634,90.00000000,-51.83999634,1.60748351
